"","cve_muni","gp_inundac","gp_sequia2","gp_bajaste","gp_ciclnes","g_suscelad","gp_sismico","gp_tsunami","homicidio_culposo_tasa","homicidio_dolos_tasao","feminicidio_tasa","secuestro_tasa","robo_vehiculos_tasa","violencia_familiar_tasa","tasa_flot_esc","tasa_flot_trab","migracion_interna_reciente","migracion_externa_reciente","ipc_dif","ic_ali_porcentaje","ic_rezedu_porcentaje","ic_asalud_porcentaje","ic_segsoc_porcentaje","ic_cv_porcentaje","vul_ing_porcentaje","ic_sbv_porcentaje","pobreza_porcentaje","brecha_tasa_ocupados","brecha_horas_cuidados","prop_mayores65","prop_menores5","prop_adultos","prop_menores","prop_indigenas","prop_lengua_indigena","prop_afrodescendientes","prop_mujeres","prop_hombres","proporcion_jefatura","proporcion_unipersonales","disc_int","disc_fis","disc_sens","disc_men","proporcion_guar","brecha_salario_mensual","media_salario_m","media_salario_h","nd_spnn1","nd_nsnn4","indice","mec_tran","inf_publ","nd_nsnn1","flexibilidad_financiera","capacidad_inversion","aut_cobr","totalpo1","complejidad_2014","n_usuarios","pct_viv_con_internet","cobertura_dren","basura_porcent_cab","densidad_medicos","densidad_hospitales","densidad_camas","mortalidad_materna","mortalidad_infantil","num_jueces","num_agentes_fiscales","endeudamiento","liquidez","valor_ici","gobiernos","politico"
"1425","20427","Alto","Alto","Muy bajo","Muy bajo","Muy alto","Alto","Sin peligro",NA,NA,NA,NA,NA,NA,NA,NA,0.93603744149766,0.93603744149766,0.00513064949543111,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.0872987044436372,0.109940670783388,0.193243734108246,0.322859910400775,0,0,0,0.523913306695726,0.476086693304274,0.300043516100957,0.0998694516971279,0.655843858940185,4.29679554433483,3.97428625449045,0.759820913302612,0.245282291400205,1.02598742554049,4387.98754863813,4276.84339925174,1,1,7,0,1,1,-17.5,31.6,1,0.3,0.355400485951807,44096,0.0348148148,0.4,0.45,NA,NA,NA,0,0.00047192071731949,3.44285,9.90747,0.376290256892953,1.89339708810972,0.81,28,28
"1426","20428","Muy bajo","Medio","Muy bajo","Bajo","Alto","Muy alto","Sin peligro",0,0,0,0,0,0,0.0254677754677755,0.00155925155925156,0.047895591859342,0.00562996299321685,0.00525400756864682,47.6301930954,31.8314803979,7.3727325922,91.5740198947,39.2042129901,0.3879461673,67.9344645992,97.7987126975,0.101271041247269,1.83748849019225,0.0696465696465697,0.145530145530146,0.175675675675676,0.42983367983368,0.982328482328482,0.81964656964657,0.00415800415800416,0.498960498960499,0.501039501039501,0.207343412526998,0.0993520518358531,0.655843858940185,4.29679554433483,3.97428625449045,0.759820913302612,0.245282291400205,1.02598742554049,4387.98754863813,4276.84339925174,3,2,0,0,1,0,-0.9,52.8,0,NA,0.285928046320994,5514,0.0050377834,0,1,0.0012,0.002,0.000933333333333334,0,0.000827129859387924,3.44285,9.90747,0.376290256892953,1.89339708810972,0.81,28,28
"1427","20429","Medio","Bajo","Bajo","Muy bajo","Muy alto","Muy alto","Sin peligro",0,0,0,0,0,0,0.0231135282121006,0.00339904826648538,0.0124817512878398,0.00966436889221097,0.00536047519916884,41.5697674419,42.3449612403,7.2674418605,83.8178294574,51.0658914729,0.265503876,93.992248062,96.5455426357,0.107876712328767,0.81928365379219,0.145479265805574,0.10469068660775,0.141400407885792,0.343303874915024,0.725356900067981,0.035350101971448,0.0496261046906866,0.512576478585996,0.487423521414004,0.25,0.0994623655913978,0.655843858940185,4.29679554433483,3.97428625449045,0.759820913302612,0.245282291400205,1.02598742554049,4387.98754863813,4276.84339925174,3,2,29,0,1,0,22.7,49.1,0,NA,0.400089634882427,6360,0.0052631579,0,0,NA,NA,NA,0,0.000898472596585804,3.44285,9.90747,0.376290256892953,1.89339708810972,0.81,28,28
"1428","20430","Bajo","Medio","Bajo","Muy bajo","Muy alto","Muy alto","Sin peligro",0,0,0,0,0,0,0.0555555555555556,0.025,0.0491561181434599,0.0105485232067511,0.00540146172271867,42.6332288401,34.1692789969,14.1065830721,67.3981191223,36.6771159875,0,97.8056426332,96.9623824451,0.198757763975155,1.02147397898444,0.280555555555556,0.0583333333333333,0.136111111111111,0.2,0.975,0.352777777777778,0,0.519444444444444,0.480555555555556,0.256410256410256,0.170940170940171,0.655843858940185,4.29679554433483,3.97428625449045,0.759820913302612,0.245282291400205,1.02598742554049,4387.98754863813,4276.84339925174,3,2,0,0,1,1,10.2,56.6,0,NA,NA,1556,0,0,0,NA,NA,NA,0,0,3.44285,9.90747,0.376290256892953,1.89339708810972,0.81,28,28
"1429","20431","Bajo","Muy alto","Bajo","Muy bajo","Muy alto","Alto","Sin peligro",0,0,0,0,0,0,0.0307328605200946,0.0348699763593381,0.0687597457990932,0.0125550300094446,0.00533837986113175,41.0967741935,23.2903225806,4.7741935484,84.2580645161,30.1290322581,0.9180645161,86.6451612903,75.2122580645,0.387962733943441,0.889746769265593,0.111111111111111,0.0998817966903073,0.157801418439716,0.333924349881797,0.84160756501182,0.145981087470449,0.117612293144208,0.516548463356974,0.483451536643026,0.220489977728285,0.11804008908686,0.655843858940185,4.29679554433483,3.97428625449045,0.759820913302612,0.245282291400205,1.02598742554049,4387.98754863813,4276.84339925174,3,2,21,0,1,0,-16.2,26,1,0.05,0.341701906186975,8208,0.02,0,0,0.00173333333333333,0.0032,0.002,0,0,3.44285,9.90747,0.376290256892953,1.89339708810972,0.81,28,28
"1430","20432","Bajo","Bajo","Muy bajo","Muy bajo","Muy alto","Alto","Sin peligro",0,0,0,0,0,0,0.0210876803551609,0.0133185349611543,0.0395460797799175,0.0126088950022925,0.00523077976875046,19.5599022005,32.2738386308,51.8337408313,85.5745721271,7.3349633252,0.7995110024,44.3765281174,94.1894865526,0.0949299199084668,1.07103387264616,0.125416204217536,0.0688124306326304,0.184239733629301,0.237513873473918,0.980022197558269,0.937846836847947,0.00332963374028857,0.500554938956715,0.499445061043285,0.195121951219512,0.104529616724739,0.655843858940185,4.29679554433483,3.97428625449045,0.759820913302612,0.245282291400205,1.02598742554049,4387.98754863813,4276.84339925174,3,2,21,0,1,1,36.1,42.2,0,NA,NA,4578,0.0034965035,0.495,1,NA,NA,NA,0,0,3.44285,9.90747,0.376290256892953,1.89339708810972,0.81,28,28
"1431","20433","Muy bajo","Bajo","Muy bajo","Bajo","Muy alto","Muy alto","Sin peligro",6.28693580627441,0,0,0,0,6.28693580627441,0.0186697782963827,0.00661221314663555,0.0113918070553357,0.0173614651328031,0.00540209574002033,27.8737049827,51.0606808091,7.3507646769,94.8199309324,50.7153428712,0,90.527873705,91.9348791317,0.302690923380579,0.979243272597128,0.0470633994554648,0.156359393232205,0.150525087514586,0.491248541423571,0.945935433683392,0.863477246207701,0.0120575651497472,0.530921820303384,0.469078179696616,0.412162162162162,0.089527027027027,0.655843858940185,4.29679554433483,3.97428625449045,0.759820913302612,0.245282291400205,1.02598742554049,4387.98754863813,4276.84339925174,3,2,14,0,1,0,6.8,59.6,0,NA,0.282571075401731,6738,0.0017699115,0,0,0.00142857142857143,0.00171428571428572,0.00133333333333333,0,0.00345542501727713,3.44285,9.90747,0.376290256892953,1.89339708810972,0.81,28,28
"1432","20434","Medio","Medio","Bajo","Muy bajo","Muy alto","Alto","Sin peligro",0,0,0,0,0,0,0.0215946843853821,0.0232558139534884,0.0578562858031419,0.0039600091060859,0.00531092371868003,28.0957622455,43.2581177766,7.8150798019,90.3687396808,28.5635663181,0.2669235003,49.559713814,96.7600440286,0.0916654449494209,3.63883660488425,0.0875652586616042,0.123872804935928,0.123160892263882,0.441860465116279,0.974608448030375,0.918604651162791,0.00711912672045562,0.538917892738491,0.461082107261509,0.321723189734189,0.110907424381302,0.655843858940185,4.29679554433483,3.97428625449045,0.759820913302612,0.245282291400205,1.02598742554049,4387.98754863813,4276.84339925174,3,2,7,0.333333333333333,1,0,-11.6,49.6,0,NA,0.285928046320994,18984,0.0030800821,0,0,0.001,0.00171428571428572,0.00133333333333333,0,0.00166944908180301,3.44285,9.90747,0.376290256892953,1.89339708810972,0.81,28,28
"1433","20435","Muy bajo","Alto","Bajo","Muy bajo","Alto","Muy alto","Sin peligro",0,0,0,0,0,0,0.0126984126984127,0.017027417027417,0.0437539489484299,0.00447621724111487,0.00522882115508964,30.5625790139,46.997471555,12.5158027813,82.1744627054,32.1744627054,0.8258533502,80.9734513274,88.8824273072,0.524465966599615,0.635716223216177,0.0704184704184704,0.122943722943723,0.15988455988456,0.42020202020202,0.98989898989899,0.912554112554113,0.0233766233766234,0.511399711399711,0.488600288600289,0.224557522123894,0.0973451327433628,0.655843858940185,4.29679554433483,3.97428625449045,0.759820913302612,0.245282291400205,1.02598742554049,4387.98754863813,4276.84339925174,3,2,21,0,1,0,-46,53.1,0,NA,0.280076413080121,13266,0,0.25,1,NA,NA,NA,0,0.000483325277912035,3.44285,9.90747,0.376290256892953,1.89339708810972,0.81,28,28
"1434","20436","Bajo","Alto","Bajo","Muy bajo","Muy alto","Alto","Sin peligro",0,0,0,0,0,0,0.0142711518858308,0.00815494393476045,0.0308995355960674,0.00918309372066597,0.00534092195807397,53.0660377358,38.2075471698,6.8396226415,84.3160377358,27.9481132075,0,100,96.1827830189,0.754492310758295,0.848206316666476,0.160040774719674,0.126401630988787,0.144750254841998,0.324159021406728,0.996941896024465,0.91539245667686,0.00305810397553517,0.523955147808359,0.476044852191641,0.25085910652921,0.130584192439863,0.655843858940185,4.29679554433483,3.97428625449045,0.759820913302612,0.245282291400205,1.02598742554049,4387.98754863813,4276.84339925174,3,2,21,0,1,0,20.9,36.6,0,NA,NA,3716,0,0,0,NA,NA,NA,0,0,3.44285,9.90747,0.376290256892953,1.89339708810972,0.81,28,28
"1435","20437","Bajo","Alto","Bajo","Muy bajo","Muy alto","Alto","Sin peligro",0,0,0,0,0,0,0.0238735709482179,0.0347455727415378,0.0373362850227967,0.00825629864482735,0.00522614895260876,16.9155543809,34.1350601295,12.8716796617,85.0006607638,34.0821990221,0.9493854896,86.5468481565,90.1073080481,0.485631383903438,1.10960624113064,0.0912351490697153,0.111522080251065,0.155570499887918,0.381528805200628,0.984980945976239,0.923447657475902,0.0088545169244564,0.523873570948218,0.476126429051782,0.254669703872437,0.107972665148064,0.655843858940185,4.29679554433483,3.97428625449045,0.759820913302612,0.245282291400205,1.02598742554049,4387.98754863813,4276.84339925174,3,2,0,0,1,0,5.1,66,0,NA,0.366555526641077,35518,0.0120134551,0.1,1,0.000818181818181818,0.00190909090909091,0.000727272727272727,0,0.00193559739574169,3.44285,9.90747,0.376290256892953,1.89339708810972,0.81,28,28
"1436","20438","Bajo","Medio","Bajo","Muy bajo","Muy alto","Alto","Sin peligro",0,0,0,0,0,0,0.00978593272171254,0.00244648318042813,0.0369042039078184,0.00533983708425899,0.00529265331969138,39.8337595908,45.9718670077,10.358056266,90.0255754476,35.2301790281,0.9271099744,67.0076726343,94.2621483376,0.116648499615286,1.09585248278282,0.0795107033639144,0.123547400611621,0.181039755351682,0.385321100917431,0.968195718654434,0.443425076452599,0.00489296636085627,0.507033639143731,0.492966360856269,0.187951807228916,0.0843373493975904,0.655843858940185,4.29679554433483,3.97428625449045,0.759820913302612,0.245282291400205,1.02598742554049,4387.98754863813,4276.84339925174,3,2,21,0,1,0,NA,NA,1,0.05,0.283242469585583,5580,0.0074441687,0.5,1,NA,NA,NA,0,0,3.44285,9.90747,0.376290256892953,1.89339708810972,0.81,28,28
"1437","20439","Alto","Bajo","Muy bajo","Medio","Muy alto","Muy alto","Muy alto",1.01784901959555,1.42498861040388,0.0678566013063703,0,2.64640741121201,4.13925260589236,0.0100278551532033,0.0124950258654994,0.028333919679278,0.0101230531612197,0.0053526681168066,47.0211938941,37.9102591491,9.5838370447,94.2831894539,21.143507772,0.1939398907,86.9152524884,69.6802369515,0.33916458263896,1.21409749628575,0.0556705133306805,0.132272184639873,0.183565459610028,0.402506963788301,0.687823318742539,0.330242737763629,0.0338241146040589,0.507441305212893,0.492558694787107,0.247088186356073,0.0810316139767055,0.655843858940185,4.29679554433483,3.97428625449045,0.759820913302612,0.245282291400205,1.02598742554049,4387.98754863813,4276.84339925174,1,2,0,0,1,0,16.9,47.3,0,NA,0.30722996670235,94602,0.0096960656,0.5,0.3,0.00106611570247934,0.00197520661157025,0.00128925619834711,0,0.000340298101136596,3.44285,9.90747,0.376290256892953,1.89339708810972,0.81,28,28
"1438","20440","Bajo","Alto","Muy bajo","Muy bajo","Alto","Muy alto","Sin peligro",0,0,0,0,0,19.267822265625,0.0286054827175209,0.0166865315852205,0.0152754820936639,0.00165289256198347,0.00518310818649777,45.2903225806,36,9.1612903226,77.0322580645,7.4838709677,1.7767741935,26.064516129,90.615483871,0.196305793187955,1.29328187312152,0.148986889153754,0.0846245530393325,0.146603098927294,0.262216924910608,0.854588796185936,0.396901072705602,0.0226460071513707,0.519666269368296,0.480333730631704,0.172535211267606,0.112676056338028,0.655843858940185,4.29679554433483,3.97428625449045,0.759820913302612,0.245282291400205,1.02598742554049,4387.98754863813,4276.84339925174,3,2,7,0,1,1,-23.2,50.1,1,NA,0.4100579012426,3972,0.0108695652,0,1,NA,NA,NA,0,0,3.44285,9.90747,0.376290256892953,1.89339708810972,0.81,28,28
"1439","20441","Alto","Medio","Muy bajo","Muy bajo","Alto","Muy alto","Muy alto",0,0,0,0,1.83776235580444,7.35104942321777,0.019556566230813,0.0449118817509949,0.037222469957842,0.00402183124470343,0.00510180603455727,43.459486919,40.9448818898,11.811023622,86.9824739649,34.2138684277,1.4864109728,59.652019304,86.8630937262,0.641533196611071,2.9980308487293,0.0493462194428653,0.13439454235361,0.153382603752132,0.427288231949972,0.950085275724844,0.892211483797612,0.00284252416145537,0.506537805571347,0.493462194428653,0.280599903241413,0.0909530720851476,0.655843858940185,4.29679554433483,3.97428625449045,0.759820913302612,0.245282291400205,1.02598742554049,4387.98754863813,4276.84339925174,3,2,0,0,1,1,-9.9,41.2,0,NA,0.571457072842799,26828,0.0108571429,0.5,1,0.00133333333333333,0.00216666666666667,0.002,0.000175963399612881,0.000351926799225761,3.44285,9.90747,0.376290256892953,1.89339708810972,0.81,28,28
"1440","20442","Muy bajo","Bajo","Muy bajo","Muy bajo","Muy alto","Alto","Sin peligro",0,0,0,0,0,0,0.108614232209738,0.0112359550561798,0.013265306122449,0.00102040816326531,0.00524869975938359,9.1666666667,32.0833333333,12.5,79.5833333333,20.8333333333,1.0916666667,60,82.6208333333,0.120133481646274,6.2083608126795,0.205992509363296,0.0898876404494382,0.134831460674157,0.262172284644195,0.99625468164794,0.685393258426966,0,0.531835205992509,0.468164794007491,0.368421052631579,0.210526315789474,0.655843858940185,4.29679554433483,3.97428625449045,0.759820913302612,0.245282291400205,1.02598742554049,4387.98754863813,4276.84339925174,3,2,0,0,1,1,23.3,30.6,0,NA,NA,2478,0,0.5,1,0.00126666666666667,0.002,0.00106666666666667,0,0,3.44285,9.90747,0.376290256892953,1.89339708810972,0.81,28,28
"1441","20443","Muy bajo","Medio","Bajo","Muy bajo","Muy alto","Alto","Sin peligro",0,0,0,0,0,0,0.108050847457627,0.0275423728813559,0.0219966159052453,0.0107868020304569,0.00525826569079166,22.5961538462,13.7019230769,6.0096153846,79.8076923077,22.5961538462,1.7932692308,84.1346153846,90.5528846154,0.277785828140849,0.654082202464721,0.180084745762712,0.0911016949152542,0.158898305084746,0.254237288135593,0.983050847457627,0.754237288135593,0.00423728813559322,0.550847457627119,0.449152542372881,0.27536231884058,0.13768115942029,0.655843858940185,4.29679554433483,3.97428625449045,0.759820913302612,0.245282291400205,1.02598742554049,4387.98754863813,4276.84339925174,3,2,21,0,1,1,6.5,26.1,1,0.3,0.391344569452162,2948,0.0143884892,0,1,0.00186666666666667,0.002,0.00213333333333333,0,0,3.44285,9.90747,0.376290256892953,1.89339708810972,0.81,28,28
"1442","20444","Medio","Medio","Bajo","Muy bajo","Alto","Muy alto","Sin peligro",0,0,0,0,0,0,0.0316301703163017,0.0145985401459854,0.040785498489426,0.0181268882175227,0.00541790322312577,17.1014492754,21.1594202899,19.4202898551,44.6376811594,15.3623188406,1.2579710145,97.3913043478,94.3507246377,0.183118279569892,2.48532970701139,0.1338199513382,0.138686131386861,0.1338199513382,0.369829683698297,0.997566909975669,0.450121654501217,0,0.537712895377129,0.462287104622871,0.264462809917355,0.148760330578512,0.655843858940185,4.29679554433483,3.97428625449045,0.759820913302612,0.245282291400205,1.02598742554049,4387.98754863813,4276.84339925174,1,2,0,0,1,1,24.6,17.7,1,0.08,NA,3142,0.0085470085,0,0,NA,NA,NA,0,0,3.44285,9.90747,0.376290256892953,1.89339708810972,0.81,28,28
